voronoi_density,transError.numSamples.mean
0.00812851405622,8627.0
0.00892348585533,15695.5
0.0097678694553,6140.2
0.0118343195266,4242.0
0.00836649321498,6332.5
0.0088868459358,6329.0
0.00671096345515,5863.0
0.0151079136691,6086.75
0.015503875969,357218.5
0.00844979919679,830942.333333
0.00595238095238,36389.0
0.00793650793651,15490.3333333
0.00318368544601,13796.0
0.0132155083194,12714.3333333
0.103896103896,7331.0
0.0131513647643,7723.5
0.0104161102505,25949.5
0.00722834459059,22338.0
0.00749872902898,24431.0
0.00719244167105,59670.0
0.00925140387024,13573.5
0.00724618860868,22022.0
0.00697674418605,32607.8
0.00713667820069,437301.0
0.0176991150442,151082.0
0.0131567778627,114100.666667
0.00866896039938,35666.8
0.00484541088869,122499.666667
0.00740202062177,19129.5
0.00740228294708,110106.5
0.0108634470337,1804313.0
0.00642957604983,225133.0
0.00480478499412,531998.0
0.0190476190476,242087.0
0.00808823529412,311884.0
0.00400898812284,65744.0
0.0105263157895,57460.5

5-Fold RMSE:,195446.410617,264805.701164,451368.988707,642656.729329,642656.729329
Average 5-Fold RMSE:,341553.180236

5-Fold rsquared:,-3.43590621198,-0.251428810449,-0.161914648027,-62.0088963748,-62.0088963748
Average 5-Fold rsquared:,-13.1948075777
