avgRoomArea,transError.std.std
1770.82512649,0.0488762765684
1693.17206751,0.1863275
16879.3303371,0.101101237389
2060.46065176,0.186017
654.353986368,0.009255
2100.80696472,0.0
42.0407507992,0.0591725
159.178043584,0.138424101571
2951.87623731,7.65827
6566.39327632,14.6652972746
117.729480802,0.0
202.653527556,0.163987254835
37.5123784326,0.0
7841.40851591,0.187602242848
17362.1361915,0.322411
151.362690548,0.2730165
5620.85672307,0.749069
1963.40434773,0.0
114.824991211,0.066417
1997.3848037,0.0
34.881097464,0.146625
5426.47434551,0.721266797933
2722.63884182,0.738109625713
1733.7689016,3.0796217385
1048.19797,0.0
159.188760688,4.04790223421
301.946595142,0.36931376237
99.3657311669,2.45785083592
35.6467956188,0.413958
1289.36416825,0.845742
1209.03521613,0.0
363.343164941,2.57654755771
943.370778453,10.1506075
5552.49887159,0.0
7977.65771283,7.315611
469.164697244,0.0
49524.5924242,0.795869226053

5-Fold RMSE:,5.36518479294,1.62237470834,5.13016477104,2.50473699825,2.50473699825
Average 5-Fold RMSE:,3.46876170141

5-Fold rsquared:,-3.15864023094,-0.267358258494,-0.00329376640239,-1.14275595503,-1.14275595503
Average 5-Fold rsquared:,-1.01386153575
