voronoi_avg_shortest_path_length,transError.std.std
17.1090763052,0.0488762765684
13.0972090374,0.1863275
15.4703899487,0.101101237389
11.9320570832,0.186017
13.5300479543,0.009255
13.346740213,0.0
16.2894352159,0.0591725
8.04121274409,0.138424101571
12.4963662791,7.65827
13.4870361446,14.6652972746
14.9227073619,0.0
15.7706882489,0.163987254835
21.4998288341,0.0
12.3135100709,0.187602242848
3.74025974026,0.322411
11.5084367246,0.2730165
12.2111532504,0.749069
16.4234150966,0.0
12.3785714286,0.066417
14.282835877,0.0
12.3206884014,0.146625
15.0959665481,0.721266797933
15.7765005537,0.738109625713
14.4232506728,3.0796217385
12.2139696587,0.0
12.0442237501,4.04790223421
14.0247250894,0.36931376237
24.0119570496,2.45785083592
16.4339661845,0.413958
22.6007609824,0.845742
12.0269053248,0.0
16.4454892506,2.57654755771
20.3348066541,10.1506075
9.9010989011,0.0
12.5083333333,7.315611
17.5499233156,0.0
15.3235310498,0.795869226053

5-Fold RMSE:,3.45531704616,2.15743878069,2.61908714707,2.47660104096,2.47660104096
Average 5-Fold RMSE:,3.17390517046

5-Fold rsquared:,-37.4765225408,-0.13421482482,-0.256768708721,-3.53134092196,-3.53134092196
Average 5-Fold rsquared:,-8.30548198443
