perimeter,rotError.std.mean
582.414195881,0.02798225
574.390274931,0.0320445
642.501394841,0.0178372
396.724658884,0.0199945
398.050280897,0.021598
629.847164937,0.036893
325.157616123,0.0359985
161.46910584,0.01772125
607.353417602,0.5246775
623.982104305,0.385748
413.568733758,0.088337
479.641424654,0.0298306666667
383.710764507,0.022416
673.355919531,0.014809
798.372831181,0.008167
186.385475943,0.012435
609.954365264,0.0413675
661.864870045,0.02285
243.197749682,0.028219
625.529006956,0.122708
175.184877189,0.020269
810.652971073,0.023071
791.247099826,0.0556182
569.465956684,0.805028666667
301.700928702,0.736744
333.320883456,0.348673666667
251.520417083,0.0636326
266.853191731,0.0959848888889
277.253593842,0.3574515
542.151199633,0.047268
523.504495381,0.997592
462.202334131,0.0586724
804.802666284,0.546293
577.749460923,0.668596
919.385854688,0.147273
687.006424965,0.059187
1411.67024864,0.033395

5-Fold RMSE:,0.195321828471,0.177994424152,0.27095180825,0.3695429786,0.3695429786
Average 5-Fold RMSE:,0.268383446123

5-Fold rsquared:,-0.0616504066182,-0.115723014444,-58.4393002602,-0.0268733135963,-0.0268733135963
Average 5-Fold rsquared:,-11.7507813283
