avgRoomPerimeter,transError.numSamples.std
707.007128463,1692.08022859
758.966768091,3411.5
2161.19207626,2886.681652
630.451496107,2356.0
470.90808455,168.5
844.944967104,0.0
120.176589697,1162.0
294.819744545,2768.629117
973.132170798,332796.5
1194.83545134,1162326.40025
191.601876363,0.0
248.223687618,4484.43361963
112.337263592,0.0
1792.08753811,4596.02468323
2075.92330798,6269.0
252.355785617,4659.5
1406.85593365,23467.5
759.248936383,0.0
219.335679185,2134.0
855.595083334,0.0
108.968542951,3793.5
1503.33670222,25849.7467299
774.553634232,27505.3824798
539.066583437,164604.661684
529.397177254,0.0
252.559291854,116037.005748
379.091758694,15605.2559274
191.722481992,231363.029035
99.2869208384,8298.5
575.918221531,59179.5
555.98246505,0.0
351.259423682,358042.389847
650.998139899,489724.0
1344.71238759,0.0
1364.92084998,274071.0
345.9363477,0.0
3522.51982697,56789.5485037

5-Fold RMSE:,124968.236778,391759.676086,158880.557761,93860.6597362,93860.6597362
Average 5-Fold RMSE:,188234.907874

5-Fold rsquared:,-0.0910813232369,-0.24473907666,-0.0214708226904,-0.850947173814,-0.850947173814
Average 5-Fold rsquared:,-0.255561420471
