voronoi_nodes,transError.std.std
250,0.0488762765684
230,0.1863275
229,0.101101237389
170,0.186017
243,0.009255
229,0.0
301,0.0591725
140,0.138424101571
129,7.65827
250,14.6652972746
337,0.0
253,0.163987254835
640,0.0
159,0.187602242848
22,0.322411
156,0.2730165
194,0.749069
291,0.0
281,0.066417
283,0.0
223,0.146625
278,0.721266797933
301,0.738109625713
289,3.0796217385
113,0.0
154,4.04790223421
244,0.36931376237
431,2.45785083592
278,0.413958
295,0.845742
189,0.0
316,2.57654755771
427,10.1506075
105,0.0
256,7.315611
530,0.0
190,0.795869226053

5-Fold RMSE:,2.0050868705,1.91822107024,3.64421614753,5.1252470878,5.1252470878
Average 5-Fold RMSE:,3.24298200002

5-Fold rsquared:,-0.107541493433,-0.0125881267589,-0.222880524022,-0.044481675935,-0.044481675935
Average 5-Fold rsquared:,-0.112582774596
