traversalTime,transError.std.mean
951.22385554,0.79363175
750.178214424,0.9712675
717.088483789,0.660006
589.758911653,0.553814
874.938568522,0.679647
870.904226907,0.695845
870.931728251,0.6465805
550.763056801,0.64506525
492.886623007,8.99611
656.952316561,11.1858156667
1371.34741951,4.032134
1187.28583886,0.868578333333
2035.82864252,0.980527
754.01694709,0.931125666667
205.223499199,0.68123
726.421235223,0.7183785
786.534337607,1.188382
841.175649661,1.285796
731.103227949,1.247364
897.190026783,2.102963
1173.06783952,1.003049
1069.35769226,1.010814
1006.22432177,1.3055026
823.369821087,13.7854806667
183.023661923,8.904198
1001.59400158,5.65513066667
1342.9430314,1.8947556
1455.54715772,2.71848344444
1603.67256076,1.921542
1367.57529848,2.705434
520.067365763,28.104709
1567.27616653,2.8970098
1008.03211816,11.9478155
510.678711028,4.520748
1349.09985599,9.020481
918.534020399,2.112467
1578.35836762,1.77265025

5-Fold RMSE:,4.53538625026,2.58289455553,10.8321378271,2.58579060771,2.58579060771
Average 5-Fold RMSE:,5.14122026918

5-Fold rsquared:,-0.113145998262,-0.385196045302,0.0258713124018,-0.147391855232,-0.147391855232
Average 5-Fold rsquared:,-0.170167784734
