voronoi_radius,transError.mean.mean
23,0.77999825
18,0.737788
20,0.6111264
18,0.627088
19,0.895302
18,0.690067
21,0.6868825
9,0.7195855
17,6.0711005
16,7.747828
16,1.066061
19,0.880959666667
27,1.110731
14,0.992162
4,0.806277
16,0.960523
16,0.95364
19,1.467048
15,1.3147815
17,1.60563
19,1.28873
20,1.08620766667
20,0.873942
19,9.46907833333
16,5.437125
14,5.458101
22,1.9444218
40,2.43944244444
21,2.0359135
26,2.2091805
14,16.189822
20,2.9383338
28,7.8686635
12,3.155217
14,7.5462215
23,1.874993
18,1.3166405

5-Fold RMSE:,5.18411433896,3.0765698372,2.13240223138,2.30068311568,2.30068311568
Average 5-Fold RMSE:,3.1725256816

5-Fold rsquared:,-0.17067487513,-0.362888850698,-0.0432215959628,-38.2312946382,-38.2312946382
Average 5-Fold rsquared:,-8.2406480116
