perimeter,transError.std.std
582.414195881,0.0488762765684
574.390274931,0.1863275
642.501394841,0.101101237389
396.724658884,0.186017
398.050280897,0.009255
629.847164937,0.0
325.157616123,0.0591725
161.46910584,0.138424101571
607.353417602,7.65827
623.982104305,14.6652972746
413.568733758,0.0
479.641424654,0.163987254835
383.710764507,0.0
673.355919531,0.187602242848
798.372831181,0.322411
186.385475943,0.2730165
609.954365264,0.749069
661.864870045,0.0
243.197749682,0.066417
625.529006956,0.0
175.184877189,0.146625
810.652971073,0.721266797933
791.247099826,0.738109625713
569.465956684,3.0796217385
301.700928702,0.0
333.320883456,4.04790223421
251.520417083,0.36931376237
266.853191731,2.45785083592
277.253593842,0.413958
542.151199633,0.845742
523.504495381,0.0
462.202334131,2.57654755771
804.802666284,10.1506075
577.749460923,0.0
919.385854688,7.315611
687.006424965,0.0
1411.67024864,0.795869226053

5-Fold RMSE:,3.14965944692,3.13262240839,2.68675703525,1.70058125064,1.70058125064
Average 5-Fold RMSE:,3.1473009739

5-Fold rsquared:,-0.106889634834,0.00807927901947,-148.978541603,0.0785269501982,0.0785269501982
Average 5-Fold rsquared:,-35.3681113459
