area,rotError.mean.std
1196.88557207,0.0055707192085
1276.3958515,0.005774
2354.8528125,0.00612134232338
1041.21327443,0.005801
734.15,0.010443
1631.6725,0.0
290.0184375,0.0071645
231.629375,0.004242387086
1054.32679687,0.454829
1933.90139917,0.585340681631
325.31,0.0
459.930625,0.00592653260066
441.6625,0.0
1647.76381253,0.00493682941438
2313.45559827,0.000363
256.2996875,1e-05
1710.57095749,0.0232285
1020.60351562,0.0
365.2209375,0.012573
1486.08538919,0.0
268.7265625,0.0029735
2419.47625,0.00940442351001
1934.39945026,0.0173000462265
1244.54759766,0.389879276934
441.159665625,0.0
235.2825,0.370803851292
397.378125,0.0154836093337
434.9653125,0.0414718190067
279.4009375,0.2579585
786.40125,0.0264565
852.118300775,0.0
774.963125,0.0619982553142
1269.8764875,0.370025
1203.42228531,0.0
3629.2829625,0.1258145
1312.1154,0.0
5351.94959335,0.00653480410475

5-Fold RMSE:,0.120742461015,0.12881539535,0.117826215623,0.129602693894,0.129602693894
Average 5-Fold RMSE:,0.150245844359

5-Fold rsquared:,-0.089955526949,-0.143192641347,-0.0320261761318,-0.0872863753863,-0.0872863753863
Average 5-Fold rsquared:,-83.4786143777
