totalTime,transError.std.mean
4665.975,0.79363175
5137.1,0.9712675
5690.54,0.660006
2714.45,0.553814
4835.1,0.679647
4832.8,0.695845
4219.35,0.6465805
5898.65,0.64506525
3627.9,8.99611
3827.43333333,11.1858156667
11510.1,4.032134
5241.43333333,0.868578333333
10257.5,0.980527
3827.56666667,0.931125666667
3620.7,0.68123
4229.35,0.7183785
3313.3,1.188382
4822.6,1.285796
3930.0,1.247364
3614.3,2.102963
4227.2,1.003049
7469.7,1.010814
5687.44,1.3055026
3623.2,13.7854806667
2421.2,8.904198
4828.66666667,5.65513066667
7982.52,1.8947556
8717.62222222,2.71848344444
6334.0,1.921542
7562.0,2.705434
4829.8,28.104709
7868.38,2.8970098
3315.1,11.9478155
2415.4,4.520748
9369.6,9.020481
4827.5,2.112467
6338.1,1.77265025

5-Fold RMSE:,4.53821750893,3.74185893566,3.145856396,10.7328311194,10.7328311194
Average 5-Fold RMSE:,5.07248498132

5-Fold rsquared:,0.0512425247015,0.0372109570921,-0.174147528555,-1.94008211098,-1.94008211098
Average 5-Fold rsquared:,-21.9635715233
