voronoi_avg_betweenness_centrality,rotError.mean.std
0.0649559528436,0.0055707192085
0.0530579343746,0.005774
0.0637462112276,0.00612134232338
0.0650717683523,0.005801
0.0519919002253,0.010443
0.0543909260484,0.0
0.0511352348359,0.0071645
0.0510232807543,0.004242387086
0.0905225691265,0.454829
0.0503509521959,0.585340681631
0.0415603204832,0.0
0.0588473635416,0.00592653260066
0.0321313931569,0.0
0.0720605736997,0.00493682941438
0.137012987013,0.000363
0.0682366021076,1e-05
0.058391423179,0.0232285
0.0533682183273,0.0
0.0407834101382,0.012573
0.0472698785658,0.0
0.0512248343955,0.0029735
0.0510723425654,0.00940442351001
0.0494197342933,0.0173000462265
0.0467709082677,0.389879276934
0.101026753682,0.0
0.072659366777,0.370803851292
0.0538211780553,0.0154836093337
0.0536409255235,0.0414718190067
0.055920167335,0.2579585
0.0737227337282,0.0264565
0.0589674081539,0.0
0.049189456212,0.0619982553142
0.0454936627156,0.370025
0.086418435933,0.0
0.0453083989501,0.1258145
0.0313445517341,0.0
0.076188994946,0.00653480410475

5-Fold RMSE:,0.0914642369966,0.16479972891,0.0775713918791,0.14460096024,0.14460096024
Average 5-Fold RMSE:,0.14650432433

5-Fold rsquared:,-0.0323028948776,-0.0555341578751,-0.212758570283,-2.15511520257,-2.15511520257
Average 5-Fold rsquared:,-0.512374493656
