voronoi_density,transError.std.mean
0.00812851405622,0.79363175
0.00892348585533,0.9712675
0.0097678694553,0.660006
0.0118343195266,0.553814
0.00836649321498,0.679647
0.0088868459358,0.695845
0.00671096345515,0.6465805
0.0151079136691,0.64506525
0.015503875969,8.99611
0.00844979919679,11.1858156667
0.00595238095238,4.032134
0.00793650793651,0.868578333333
0.00318368544601,0.980527
0.0132155083194,0.931125666667
0.103896103896,0.68123
0.0131513647643,0.7183785
0.0104161102505,1.188382
0.00722834459059,1.285796
0.00749872902898,1.247364
0.00719244167105,2.102963
0.00925140387024,1.003049
0.00724618860868,1.010814
0.00697674418605,1.3055026
0.00713667820069,13.7854806667
0.0176991150442,8.904198
0.0131567778627,5.65513066667
0.00866896039938,1.8947556
0.00484541088869,2.71848344444
0.00740202062177,1.921542
0.00740228294708,2.705434
0.0108634470337,28.104709
0.00642957604983,2.8970098
0.00480478499412,11.9478155
0.0190476190476,4.520748
0.00808823529412,9.020481
0.00400898812284,2.112467
0.0105263157895,1.77265025

5-Fold RMSE:,2.80483364936,3.86031974885,3.87009359385,6.39219644845,6.39219644845
Average 5-Fold RMSE:,5.464492662

5-Fold rsquared:,-3.46413851221,-0.664436238325,-0.0117095313358,-0.00146243379942,-0.00146243379942
Average 5-Fold rsquared:,-0.84055403247
