avgRoomWallRatio,rotError.mean.std
28.751717776,0.0055707192085
137.556377369,0.005774
52.1209436869,0.00612134232338
11.0567143812,0.005801
25.0965042526,0.010443
5.11370107056,0.0
5.20722404423,0.0071645
16.4235744233,0.004242387086
23.8346876138,0.454829
20.8609685098,0.585340681631
5.36699093475,0.0
6.82477892286,0.00592653260066
8.06038669655,0.0
29.1017856064,0.00493682941438
112.186234652,0.000363
9.94474092631,1e-05
20.3487250038,0.0232285
32.0558355679,0.0
5.66003775883,0.012573
41.7117577663,0.0
4.15960998171,0.0029735
257.915562133,0.00940442351001
18.4384227154,0.0173000462265
78.8607355756,0.389879276934
17.0310324486,0.0
5.20590608492,0.370803851292
15.5899748781,0.0154836093337
9.40155834329,0.0414718190067
5.76789137536,0.2579585
32.8475094999,0.0264565
21.165267296,0.0
12.5838625992,0.0619982553142
31.9225066807,0.370025
20.6470540419,0.0
94.0246719844,0.1258145
74.578108553,0.0
42.725871617,0.00653480410475

5-Fold RMSE:,0.267214310167,0.076775833457,0.144880812548,0.12849035198,0.12849035198
Average 5-Fold RMSE:,0.142566454946

5-Fold rsquared:,-0.307682711076,-50.93874493,-0.0184131768273,-0.117609859842,-0.117609859842
Average 5-Fold rsquared:,-10.2906896832
