avgRoomPerimeter,rotError.std.mean
707.007128463,0.02798225
758.966768091,0.0320445
2161.19207626,0.0178372
630.451496107,0.0199945
470.90808455,0.021598
844.944967104,0.036893
120.176589697,0.0359985
294.819744545,0.01772125
973.132170798,0.5246775
1194.83545134,0.385748
191.601876363,0.088337
248.223687618,0.0298306666667
112.337263592,0.022416
1792.08753811,0.014809
2075.92330798,0.008167
252.355785617,0.012435
1406.85593365,0.0413675
759.248936383,0.02285
219.335679185,0.028219
855.595083334,0.122708
108.968542951,0.020269
1503.33670222,0.023071
774.553634232,0.0556182
539.066583437,0.805028666667
529.397177254,0.736744
252.559291854,0.348673666667
379.091758694,0.0636326
191.722481992,0.0959848888889
99.2869208384,0.3574515
575.918221531,0.047268
555.98246505,0.997592
351.259423682,0.0586724
650.998139899,0.546293
1344.71238759,0.668596
1364.92084998,0.147273
345.9363477,0.059187
3522.51982697,0.033395

5-Fold RMSE:,0.191044397974,0.253135219895,0.184029458521,0.334287826368,0.334287826368
Average 5-Fold RMSE:,0.261299365387

5-Fold rsquared:,-0.0907241603571,-0.0338840592831,2.47153615848e-05,-0.0336718746529,-0.0336718746529
Average 5-Fold rsquared:,-43.2306312291
