voronoi_avg_katz_centrality,rotError.mean.mean
0.00263691501963,0.033056
0.00414675006167,0.022922
0.00687453878969,0.0119034
0.0132370052728,0.024416
0.000254586441506,0.022984
0.00249469745735,0.026014
0.00349157537483,0.0385815
0.00819877290375,0.01411725
0.00368457372095,0.508538
0.00593057110261,0.427206333333
0.00183923477374,0.027683
0.00276541182543,0.021869
0.00195573996648,0.025594
0.00819487385135,0.011314
0.061080293104,0.005875
0.021034321157,0.008499
0.00770788343339,0.0364685
0.000985497287792,0.013377
0.00541741932639,0.025206
0.00473407332978,0.098742
0.0107227141849,0.0188725
0.00470260844059,0.0217106666667
0.00337661950533,0.0356654
0.00522130790338,0.710121333333
0.00394697265736,0.617859
0.0115555452936,0.347246
0.00620759969978,0.037768
0.00237931914125,0.0542597777778
0.00425521588337,0.2879235
0.00165416922011,0.0488165
0.00454144763295,0.811734
0.00305737359108,0.061975
0.000464141250352,0.422134
0.0118453240216,0.415324
0.00183164127162,0.1402775
0.000137398924846,0.058548
0.0125305043955,0.02715275

5-Fold RMSE:,0.229165853838,0.294131397476,0.163600490461,0.152012359378,0.152012359378
Average 5-Fold RMSE:,0.221196012103

5-Fold rsquared:,-0.0967839157164,-1.07701662097,-0.504365656695,0.00126285341816,0.00126285341816
Average 5-Fold rsquared:,-2.24289342192
