voronoi_numBifurcationPoints,rotError.mean.mean
125,0.033056
117,0.022922
135,0.0119034
81,0.024416
121,0.022984
111,0.026014
145,0.0385815
66,0.01411725
62,0.508538
134,0.427206333333
126,0.027683
123,0.021869
324,0.025594
82,0.011314
13,0.005875
68,0.008499
93,0.0364685
146,0.013377
148,0.025206
141,0.098742
93,0.0188725
137,0.0217106666667
155,0.0356654
145,0.710121333333
52,0.617859
58,0.347246
107,0.037768
195,0.0542597777778
119,0.2879235
159,0.0488165
94,0.811734
160,0.061975
214,0.422134
49,0.415324
131,0.1402775
268,0.058548
92,0.02715275

5-Fold RMSE:,0.246342372813,0.128663071103,0.260838519435,0.267281677766,0.267281677766
Average 5-Fold RMSE:,0.217607928731

5-Fold rsquared:,0.0849777614661,-0.0192945543801,0.00441004317566,-0.0249418394018,-0.0249418394018
Average 5-Fold rsquared:,-0.0165391115017
