avgRoomPerimeter,transError.mean.std
707.007128463,0.0268714999802
758.966768091,0.08188
2161.19207626,0.0386996817124
630.451496107,0.195896
470.90808455,0.00292
844.944967104,0.0
120.176589697,0.1233725
294.819744545,0.0698618482453
973.132170798,4.9228345
1194.83545134,9.61954530971
191.601876363,0.0
248.223687618,0.156519499397
112.337263592,0.0
1792.08753811,0.277745542295
2075.92330798,0.448678
252.355785617,0.347259
1406.85593365,0.354833
759.248936383,0.0
219.335679185,0.0584935
855.595083334,0.0
108.968542951,0.321336
1503.33670222,0.477166622112
774.553634232,0.255518043365
539.066583437,3.45614803464
529.397177254,0.0
252.559291854,3.87716082459
379.091758694,0.596664793933
191.722481992,2.23653723722
99.2869208384,0.1633645
575.918221531,0.9678625
555.98246505,0.0
351.259423682,2.54792806727
650.998139899,6.6343885
1344.71238759,0.0
1364.92084998,5.7450325
345.9363477,0.0
3522.51982697,0.15450226646

5-Fold RMSE:,4.15799485976,1.4175973269,1.33230800804,1.41551647095,1.41551647095
Average 5-Fold RMSE:,2.17226972987

5-Fold rsquared:,-0.548976734185,-0.0451361793862,-0.216796397411,-0.382168144573,-0.382168144573
Average 5-Fold rsquared:,-0.246351218206
