voronoi_diameter,transError.std.mean
45,0.79363175
31,0.9712675
40,0.660006
26,0.553814
31,0.679647
32,0.695845
38,0.6465805
18,0.64506525
34,8.99611
31,11.1858156667
31,4.032134
38,0.868578333333
52,0.980527
27,0.931125666667
8,0.68123
24,0.7183785
30,1.188382
38,1.285796
27,1.247364
30,2.102963
26,1.003049
34,1.010814
40,1.3055026
38,13.7854806667
31,8.904198
27,5.65513066667
44,1.8947556
51,2.71848344444
41,1.921542
51,2.705434
28,28.104709
39,2.8970098
55,11.9478155
24,4.520748
28,9.020481
44,2.112467
36,1.77265025

5-Fold RMSE:,2.5469419913,10.5001996385,3.43751301388,4.93172311434,4.93172311434
Average 5-Fold RMSE:,4.95847691575

5-Fold rsquared:,-2.20410373604,-0.0966139390354,-0.325407128155,-0.126415343648,-0.126415343648
Average 5-Fold rsquared:,-1.80347181605
