avgRoomArea,rotError.std.std
1770.82512649,0.00415768868333
1693.17206751,0.0035425
16879.3303371,0.00655641073759
2060.46065176,0.0051905
654.353986368,0.006605
2100.80696472,0.0
42.0407507992,0.0056375
159.178043584,0.00514110111625
2951.87623731,0.4711185
6566.39327632,0.520981324519
117.729480802,0.0
202.653527556,0.00461329826576
37.5123784326,0.0
7841.40851591,0.00678663190888
17362.1361915,0.000102
151.362690548,0.002803
5620.85672307,0.0297495
1963.40434773,0.0
114.824991211,0.004725
1997.3848037,0.0
34.881097464,0.003115
5426.47434551,0.00955488046323
2722.63884182,0.0452229868072
1733.7689016,0.265200879727
1048.19797,0.0
159.188760688,0.370361932929
301.946595142,0.0440903158374
99.3657311669,0.0449257746967
35.6467956188,0.3296775
1289.36416825,0.015767
1209.03521613,0.0
363.343164941,0.0520600178548
943.370778453,0.46847
5552.49887159,0.0
7977.65771283,0.126804
469.164697244,0.0
49524.5924242,0.00888930742522

5-Fold RMSE:,0.0851256484112,0.135299921828,0.186030636565,0.24997545624,0.24997545624
Average 5-Fold RMSE:,0.149533260128

5-Fold rsquared:,-0.0635141136559,-0.0889099785646,-15.2175759262,-0.236284429803,-0.236284429803
Average 5-Fold rsquared:,-3.12423364926
