topology_edges,rotError.mean.std
36,0.0055707192085
35,0.005774
19,0.00612134232338
25,0.005801
35,0.010443
39,0.0
57,0.0071645
18,0.004242387086
23,0.454829
26,0.585340681631
37,0.0
37,0.00592653260066
54,0.0
20,0.00493682941438
18,0.000363
21,1e-05
27,0.0232285
26,0.0
46,0.012573
39,0.0
63,0.0029735
30,0.00940442351001
50,0.0173000462265
2,0.389879276934
14,0.0
19,0.370803851292
32,0.0154836093337
49,0.0414718190067
67,0.2579585
23,0.0264565
29,0.0
51,0.0619982553142
57,0.370025
16,0.0
48,0.1258145
90,0.0
24,0.00653480410475

5-Fold RMSE:,0.266563377454,0.145768083762,0.0854071177084,0.117176292837,0.117176292837
Average 5-Fold RMSE:,0.15347057737

5-Fold rsquared:,-0.467462944245,-0.130625051235,-1.01803973858,-0.0541187419741,-0.0541187419741
Average 5-Fold rsquared:,-0.327235403132
