totalTime,transError.std.std
4665.975,0.0488762765684
5137.1,0.1863275
5690.54,0.101101237389
2714.45,0.186017
4835.1,0.009255
4832.8,0.0
4219.35,0.0591725
5898.65,0.138424101571
3627.9,7.65827
3827.43333333,14.6652972746
11510.1,0.0
5241.43333333,0.163987254835
10257.5,0.0
3827.56666667,0.187602242848
3620.7,0.322411
4229.35,0.2730165
3313.3,0.749069
4822.6,0.0
3930.0,0.066417
3614.3,0.0
4227.2,0.146625
7469.7,0.721266797933
5687.44,0.738109625713
3623.2,3.0796217385
2421.2,0.0
4828.66666667,4.04790223421
7982.52,0.36931376237
8717.62222222,2.45785083592
6334.0,0.413958
7562.0,0.845742
4829.8,0.0
7868.38,2.57654755771
3315.1,10.1506075
2415.4,0.0
9369.6,7.315611
4827.5,0.0
6338.1,0.795869226053

5-Fold RMSE:,4.06593491165,1.42378123602,1.5171245169,2.63630510858,2.63630510858
Average 5-Fold RMSE:,2.98138482923

5-Fold rsquared:,-0.430056820834,-50.7141338284,-0.0107243085346,-0.515867301967,-0.515867301967
Average 5-Fold rsquared:,-10.9773735983
