topology_radius,transError.std.mean
4,0.79363175
4,0.9712675
2,0.660006
3,0.553814
2,0.679647
3,0.695845
4,0.6465805
2,0.64506525
3,8.99611
4,11.1858156667
3,4.032134
4,0.868578333333
4,0.980527
3,0.931125666667
3,0.68123
2,0.7183785
3,1.188382
4,1.285796
3,1.247364
3,2.102963
3,1.003049
2,1.010814
4,1.3055026
1,13.7854806667
3,8.904198
2,5.65513066667
2,1.8947556
3,2.71848344444
3,1.921542
3,2.705434
4,28.104709
5,2.8970098
4,11.9478155
2,4.520748
4,9.020481
5,2.112467
4,1.77265025

5-Fold RMSE:,3.56699061734,7.87562476193,9.94695508813,3.37777852215,3.37777852215
Average 5-Fold RMSE:,5.72360928102

5-Fold rsquared:,-0.0493860695907,-0.273993897545,-0.0388601218822,-27.6417935947,-27.6417935947
Average 5-Fold rsquared:,-5.72285468989
