totalLength,transError.mean.std
1329.72750899,0.0268714999802
2108.7669849,0.08188
2256.12310928,0.0386996817124
824.368835301,0.195896
2126.22049647,0.00292
1790.18354594,0.0
1441.58676375,0.1233725
2440.05942838,0.0698618482453
946.029134275,4.9228345
863.896973708,9.61954530971
3457.98110153,0.0
1867.26882519,0.156519499397
3890.3216491,0.0
1367.16333489,0.277745542295
1063.51137603,0.448678
1525.83099978,0.347259
1159.62437526,0.354833
1396.36771942,0.0
874.593326059,0.0584935
897.427820849,0.0
1435.35472905,0.321336
2824.82110656,0.477166622112
1946.83451508,0.255518043365
846.497995999,3.45614803464
384.084747385,0.0
1326.42297693,3.87716082459
2372.92825138,0.596664793933
3101.91185446,2.23653723722
1942.47141161,0.1633645
3185.90692283,0.9678625
848.674294841,0.0
3035.9531446,2.54792806727
917.952284687,6.6343885
537.458350768,0.0
3987.59657007,5.7450325
1047.88838472,0.0
2361.72989476,0.15450226646

5-Fold RMSE:,2.57629265841,3.54087166064,1.72921552968,2.3103154548,2.3103154548
Average 5-Fold RMSE:,2.30423215989

5-Fold rsquared:,-2.47380748506,-0.0604175008441,-0.0315368568322,-43.7537837768,-43.7537837768
Average 5-Fold rsquared:,-9.33437096905
