voronoi_numBifurcationPoints,transError.std.mean
125,0.79363175
117,0.9712675
135,0.660006
81,0.553814
121,0.679647
111,0.695845
145,0.6465805
66,0.64506525
62,8.99611
134,11.1858156667
126,4.032134
123,0.868578333333
324,0.980527
82,0.931125666667
13,0.68123
68,0.7183785
93,1.188382
146,1.285796
148,1.247364
141,2.102963
93,1.003049
137,1.010814
155,1.3055026
145,13.7854806667
52,8.904198
58,5.65513066667
107,1.8947556
195,2.71848344444
119,1.921542
159,2.705434
94,28.104709
160,2.8970098
214,11.9478155
49,4.520748
131,9.020481
268,2.112467
92,1.77265025

5-Fold RMSE:,9.19994987842,4.0012621421,4.41600602594,3.85931163815,3.85931163815
Average 5-Fold RMSE:,4.94408621268

5-Fold rsquared:,-0.0550653089443,-0.243204891234,-6.25262386311,-0.16666163193,-0.16666163193
Average 5-Fold rsquared:,-1.37905216491
