topology_avg_katz_centrality,rotError.std.mean
0.177783461173,0.02798225
0.173718373605,0.0320445
0.225837365907,0.0178372
0.197191271315,0.0199945
0.17256521982,0.021598
0.156033511459,0.036893
0.137439770012,0.0359985
0.221789361423,0.01772125
0.213572373485,0.5246775
0.194739301254,0.385748
0.168023315729,0.088337
0.165392862514,0.0298306666667
0.164520601552,0.022416
0.22139266437,0.014809
0.226325241251,0.008167
0.222462593068,0.012435
0.197164987585,0.0413675
0.200394557396,0.02285
0.159984669078,0.028219
0.162992923157,0.122708
0.13687879313,0.020269
0.17493981875,0.023071
0.153835261752,0.0556182
0.576851478367,0.805028666667
0.255507311148,0.736744
0.217728809152,0.348673666667
0.184491558962,0.0636326
0.140375197828,0.0959848888889
0.137896297217,0.3574515
0.205673933659,0.047268
0.187006207323,0.997592
0.151720774244,0.0586724
0.139000400145,0.546293
0.23768993686,0.668596
0.152012508979,0.147273
0.122273092524,0.059187
0.194677300978,0.033395

5-Fold RMSE:,0.330568326949,0.153027573298,0.225891109534,0.230256338149,0.230256338149
Average 5-Fold RMSE:,0.233090759669

5-Fold rsquared:,-0.264413648736,0.249830041301,-0.160595378021,-369.671644278,-369.671644278
Average 5-Fold rsquared:,-74.0094288553
