avgRoomArea,transError.mean.mean
1770.82512649,0.77999825
1693.17206751,0.737788
16879.3303371,0.6111264
2060.46065176,0.627088
654.353986368,0.895302
2100.80696472,0.690067
42.0407507992,0.6868825
159.178043584,0.7195855
2951.87623731,6.0711005
6566.39327632,7.747828
117.729480802,1.066061
202.653527556,0.880959666667
37.5123784326,1.110731
7841.40851591,0.992162
17362.1361915,0.806277
151.362690548,0.960523
5620.85672307,0.95364
1963.40434773,1.467048
114.824991211,1.3147815
1997.3848037,1.60563
34.881097464,1.28873
5426.47434551,1.08620766667
2722.63884182,0.873942
1733.7689016,9.46907833333
1048.19797,5.437125
159.188760688,5.458101
301.946595142,1.9444218
99.3657311669,2.43944244444
35.6467956188,2.0359135
1289.36416825,2.2091805
1209.03521613,16.189822
363.343164941,2.9383338
943.370778453,7.8686635
5552.49887159,3.155217
7977.65771283,7.5462215
469.164697244,1.874993
49524.5924242,1.3166405

5-Fold RMSE:,5.54818285996,2.48773379796,2.15638711931,2.99753854319,2.99753854319
Average 5-Fold RMSE:,3.06044784053

5-Fold rsquared:,-15.7547851216,-0.0346737685043,-0.320892750415,-0.0496508001782,-0.0496508001782
Average 5-Fold rsquared:,-3.25092631624
