avgRoomWallRatio,transError.std.mean
28.751717776,0.79363175
137.556377369,0.9712675
52.1209436869,0.660006
11.0567143812,0.553814
25.0965042526,0.679647
5.11370107056,0.695845
5.20722404423,0.6465805
16.4235744233,0.64506525
23.8346876138,8.99611
20.8609685098,11.1858156667
5.36699093475,4.032134
6.82477892286,0.868578333333
8.06038669655,0.980527
29.1017856064,0.931125666667
112.186234652,0.68123
9.94474092631,0.7183785
20.3487250038,1.188382
32.0558355679,1.285796
5.66003775883,1.247364
41.7117577663,2.102963
4.15960998171,1.003049
257.915562133,1.010814
18.4384227154,1.3055026
78.8607355756,13.7854806667
17.0310324486,8.904198
5.20590608492,5.65513066667
15.5899748781,1.8947556
9.40155834329,2.71848344444
5.76789137536,1.921542
32.8475094999,2.705434
21.165267296,28.104709
12.5838625992,2.8970098
31.9225066807,11.9478155
20.6470540419,4.520748
94.0246719844,9.020481
74.578108553,2.112467
42.725871617,1.77265025

5-Fold RMSE:,2.94128022257,3.1968843607,10.0481470152,4.71147968582,4.71147968582
Average 5-Fold RMSE:,5.06014000793

5-Fold rsquared:,-0.767601584804,-0.251344132373,-5.77240008919,-0.0187774206197,-0.0187774206197
Average 5-Fold rsquared:,-1.36780548002
