wallRatio,rotError.std.mean
195.799193881,0.02798225
64.2505870093,0.0320445
113.84243497,0.0178372
276.335142736,0.0199945
54.7144722115,0.021598
56.5108006335,0.036893
64.1950153828,0.0359985
40.7940417972,0.01772125
116.659635642,0.5246775
125.858650875,0.385748
42.5,0.088337
69.0004528971,0.0298306666667
82.25,0.022416
136.792027631,0.014809
121.115647214,0.008167
85.5,0.012435
88.2524787187,0.0413675
85.0,0.02285
185.4,0.028219
137.333434466,0.122708
254.000492126,0.020269
61.75,0.023071
119.221642331,0.0556182
107.12901101,0.805028666667
116.372247551,0.736744
116.833333333,0.348673666667
85.6692606611,0.0636326
82.2192191644,0.0959848888889
75.0,0.3574515
59.6003355695,0.047268
100.215345056,0.997592
113.5,0.0586724
62.8,0.546293
64.8333333333,0.668596
95.5085578123,0.147273
57.795023193,0.059187
195.0,0.033395

5-Fold RMSE:,0.187528930634,0.190582223034,0.284805159756,0.367922794082,0.367922794082
Average 5-Fold RMSE:,0.271319550138

5-Fold rsquared:,-1.44528341018,-0.198960050489,-0.00279908478473,-0.0605856699788,-0.0605856699788
Average 5-Fold rsquared:,-0.340230264168
