topology_avg_shortest_path_length,transError.numSamples.mean
3.25057471264,8627.0
3.36088709677,15695.5
2.76608187135,6140.2
2.52536231884,4242.0
2.4183908046,6332.5
2.83333333333,6329.0
3.77570921986,5863.0
2.26900584795,6086.75
2.68095238095,357218.5
3.04,830942.333333
3.30837789661,36389.0
3.49411764706,15490.3333333
3.14957983193,13796.0
3.25789473684,12714.3333333
2.97076023392,7331.0
2.42105263158,7723.5
2.57608695652,25949.5
3.34420289855,22338.0
2.65378151261,24431.0
3.05378151261,59670.0
2.93524514339,13573.5
2.55632183908,22022.0
3.71025641026,32607.8
1.33333333333,437301.0
2.8380952381,151082.0
2.45789473684,114100.666667
2.11076923077,35666.8
2.41971207087,122499.666667
3.01572617946,19129.5
3.395256917,110106.5
3.34757834758,1804313.0
3.90592334495,225133.0
3.25314009662,531998.0
2.48529411765,242087.0
3.64146341463,311884.0
3.94674859191,65744.0
2.96666666667,57460.5

5-Fold RMSE:,215412.75066,192760.158766,646428.953357,282237.823814,282237.823814
Average 5-Fold RMSE:,292962.874789

5-Fold rsquared:,-3.62333830103,-0.176293342793,-58.2179424598,-0.481419229745,-0.481419229745
Average 5-Fold rsquared:,-12.5209039828
