voronoi_diameter,transError.numSamples.std
45,1692.08022859
31,3411.5
40,2886.681652
26,2356.0
31,168.5
32,0.0
38,1162.0
18,2768.629117
34,332796.5
31,1162326.40025
31,0.0
38,4484.43361963
52,0.0
27,4596.02468323
8,6269.0
24,4659.5
30,23467.5
38,0.0
27,2134.0
30,0.0
26,3793.5
34,25849.7467299
40,27505.3824798
38,164604.661684
31,0.0
27,116037.005748
44,15605.2559274
51,231363.029035
41,8298.5
51,59179.5
28,0.0
39,358042.389847
55,489724.0
24,0.0
28,274071.0
44,0.0
36,56789.5485037

5-Fold RMSE:,109113.149962,179699.16729,119002.039538,431199.228134,431199.228134
Average 5-Fold RMSE:,186158.710625

5-Fold rsquared:,-0.111900177856,0.0695727588954,-0.271165390329,-0.386071469126,-0.386071469126
Average 5-Fold rsquared:,-0.126965264043
