voronoi_edges,transError.mean.std
253,0.0268714999802
235,0.08188
255,0.0386996817124
170,0.195896
246,0.00292
232,0.0
303,0.1233725
147,0.0698618482453
128,4.9228345
263,9.61954530971
337,0.0
253,0.156519499397
651,0.0
166,0.277745542295
24,0.448678
159,0.347259
195,0.354833
305,0.0
295,0.0584935
287,0.0
229,0.321336
279,0.477166622112
315,0.255518043365
297,3.45614803464
112,0.0
155,3.87716082459
257,0.596664793933
449,2.23653723722
285,0.1633645
321,0.9678625
193,0.0
320,2.54792806727
437,6.6343885
104,0.0
264,5.7450325
562,0.0
189,0.15450226646

5-Fold RMSE:,3.09622419708,2.32957298117,1.29475570895,2.29150658131,2.29150658131
Average 5-Fold RMSE:,2.20652997825

5-Fold rsquared:,-0.538793429961,0.0141209253437,-0.481898602051,-0.717737728392,-0.717737728392
Average 5-Fold rsquared:,-0.390428045145
