topology_avg_katz_centrality,rotError.numSamples.std
0.177783461173,1692.08022859
0.173718373605,3411.5
0.225837365907,2886.681652
0.197191271315,2356.0
0.17256521982,168.5
0.156033511459,0.0
0.137439770012,1162.0
0.221789361423,2768.629117
0.213572373485,332796.5
0.194739301254,1162326.40025
0.168023315729,0.0
0.165392862514,4484.43361963
0.164520601552,0.0
0.22139266437,4596.02468323
0.226325241251,6269.0
0.222462593068,4659.5
0.197164987585,23467.5
0.200394557396,0.0
0.159984669078,2134.0
0.162992923157,0.0
0.13687879313,3793.5
0.17493981875,25849.7467299
0.153835261752,27505.3824798
0.576851478367,164604.661684
0.255507311148,0.0
0.217728809152,116037.005748
0.184491558962,15605.2559274
0.140375197828,231363.029035
0.137896297217,8298.5
0.205673933659,59179.5
0.187006207323,0.0
0.151720774244,358042.389847
0.139000400145,489724.0
0.23768993686,0.0
0.152012508979,274071.0
0.122273092524,0.0
0.194677300978,56789.5485037

5-Fold RMSE:,479429.000704,118173.341113,111276.362659,180347.048775,180347.048775
Average 5-Fold RMSE:,200483.413319

5-Fold rsquared:,-0.0457500615316,-1.52767254113,-0.770860516866,-0.0598483027409,-0.0598483027409
Average 5-Fold rsquared:,-0.495000775323
