wallRatio,transError.std.mean
195.799193881,0.79363175
64.2505870093,0.9712675
113.84243497,0.660006
276.335142736,0.553814
54.7144722115,0.679647
56.5108006335,0.695845
64.1950153828,0.6465805
40.7940417972,0.64506525
116.659635642,8.99611
125.858650875,11.1858156667
42.5,4.032134
69.0004528971,0.868578333333
82.25,0.980527
136.792027631,0.931125666667
121.115647214,0.68123
85.5,0.7183785
88.2524787187,1.188382
85.0,1.285796
185.4,1.247364
137.333434466,2.102963
254.000492126,1.003049
61.75,1.010814
119.221642331,1.3055026
107.12901101,13.7854806667
116.372247551,8.904198
116.833333333,5.65513066667
85.6692606611,1.8947556
82.2192191644,2.71848344444
75.0,1.921542
59.6003355695,2.705434
100.215345056,28.104709
113.5,2.8970098
62.8,11.9478155
64.8333333333,4.520748
95.5085578123,9.020481
57.795023193,2.112467
195.0,1.77265025

5-Fold RMSE:,9.21746553,5.88385244593,3.61535461717,3.62374955833,3.62374955833
Average 5-Fold RMSE:,4.99865636901

5-Fold rsquared:,-0.605811203426,0.00284124249875,-0.294384598624,-234.337471494,-234.337471494
Average 5-Fold rsquared:,-47.046305679
