topology_diameter,rotError.std.std
8,0.00415768868333
7,0.0035425
4,0.00655641073759
5,0.0051905
4,0.006605
6,0.0
8,0.0056375
4,0.00514110111625
5,0.4711185
7,0.520981324519
5,0.0
7,0.00461329826576
7,0.0
6,0.00678663190888
6,0.000102
4,0.002803
5,0.0297495
7,0.0
4,0.004725
6,0.0
6,0.003115
4,0.00955488046323
7,0.0452229868072
2,0.265200879727
6,0.0
4,0.370361932929
4,0.0440903158374
5,0.0449257746967
6,0.3296775
6,0.015767
8,0.0
8,0.0520600178548
8,0.46847
4,0.0
7,0.126804
8,0.0
7,0.00888930742522

5-Fold RMSE:,0.16567449602,0.129231115243,0.102228066671,0.182111282747,0.182111282747
Average 5-Fold RMSE:,0.153735899999

5-Fold rsquared:,-982.89705031,-0.0912888150566,-0.573987591977,-0.0704882680503,-0.0704882680503
Average 5-Fold rsquared:,-196.759889152
