voronoi_nodes,rotError.std.std
250,0.00415768868333
230,0.0035425
229,0.00655641073759
170,0.0051905
243,0.006605
229,0.0
301,0.0056375
140,0.00514110111625
129,0.4711185
250,0.520981324519
337,0.0
253,0.00461329826576
640,0.0
159,0.00678663190888
22,0.000102
156,0.002803
194,0.0297495
291,0.0
281,0.004725
283,0.0
223,0.003115
278,0.00955488046323
301,0.0452229868072
289,0.265200879727
113,0.0
154,0.370361932929
244,0.0440903158374
431,0.0449257746967
278,0.3296775
295,0.015767
189,0.0
316,0.0520600178548
427,0.46847
105,0.0
256,0.126804
530,0.0
190,0.00888930742522

5-Fold RMSE:,0.0775235900646,0.215942243243,0.274874373308,0.0857708317825,0.0857708317825
Average 5-Fold RMSE:,0.150119667045

5-Fold rsquared:,-0.06783588577,-0.167731759455,-0.0879732876163,-0.0844083303989,-0.0844083303989
Average 5-Fold rsquared:,-0.0963504203406
