roomPerimeter,rotError.mean.mean
824.277775057,0.033056
909.128599512,0.022922
883.283838598,0.0119034
602.61103687,0.024416
651.012500721,0.022984
1075.51367261,0.026014
537.162909983,0.0385815
343.406315926,0.01411725
655.096395443,0.508538
864.15979835,0.427206333333
470.629120514,0.027683
551.429068269,0.021869
837.315270419,0.025594
846.661098224,0.011314
865.683726415,0.005875
349.485622363,0.008499
900.193877884,0.0364685
688.861804167,0.013377
533.159488544,0.025206
1023.76949412,0.098742
501.062394277,0.0188725
1357.05101607,0.0217106666667
1113.23214774,0.0356654
789.405453777,0.710121333333
345.129490021,0.617859
349.626511091,0.347246
506.227250231,0.037768
623.087494685,0.0542597777778
498.214112703,0.2879235
551.960813093,0.0488165
636.640571297,0.811734
787.160481335,0.061975
1173.67459887,0.422134
623.395444333,0.415324
1588.62791478,0.1402775
1208.95867135,0.058548
1483.77049838,0.02715275

5-Fold RMSE:,0.171764644118,0.232887712927,0.163196181343,0.275166366722,0.275166366722
Average 5-Fold RMSE:,0.217861141268

5-Fold rsquared:,-1.6245162035,-1.37298297991,-0.228157080643,-0.111489987789,-0.111489987789
Average 5-Fold rsquared:,-0.662470407289
