traversalTime,rotError.numSamples.std
951.22385554,1692.08022859
750.178214424,3411.5
717.088483789,2886.681652
589.758911653,2356.0
874.938568522,168.5
870.904226907,0.0
870.931728251,1162.0
550.763056801,2768.629117
492.886623007,332796.5
656.952316561,1162326.40025
1371.34741951,0.0
1187.28583886,4484.43361963
2035.82864252,0.0
754.01694709,4596.02468323
205.223499199,6269.0
726.421235223,4659.5
786.534337607,23467.5
841.175649661,0.0
731.103227949,2134.0
897.190026783,0.0
1173.06783952,3793.5
1069.35769226,25849.7467299
1006.22432177,27505.3824798
823.369821087,164604.661684
183.023661923,0.0
1001.59400158,116037.005748
1342.9430314,15605.2559274
1455.54715772,231363.029035
1603.67256076,8298.5
1367.57529848,59179.5
520.067365763,0.0
1567.27616653,358042.389847
1008.03211816,489724.0
510.678711028,0.0
1349.09985599,274071.0
918.534020399,0.0
1578.35836762,56789.5485037

5-Fold RMSE:,109562.065338,163416.997247,109262.001664,154385.598032,154385.598032
Average 5-Fold RMSE:,192636.569727

5-Fold rsquared:,-0.0557697443425,-0.140233456423,-24.7605553394,-32.454237879,-32.454237879
Average 5-Fold rsquared:,-11.4977950186
