topology_std_katz_centrality,rotError.mean.std
0.0415496602463,0.0055707192085
0.0327402912611,0.005774
0.040361653923,0.00612134232338
0.052747219677,0.005801
0.0596202838132,0.010443
0.0517742245605,0.0
0.0440867661807,0.0071645
0.0586605327873,0.004242387086
0.0447871510946,0.454829
0.0455697766838,0.585340681631
0.0343501102959,0.0
0.0348802179017,0.00592653260066
0.0387865986683,0.0
0.0313893001367,0.00493682941438
0.0375295099882,0.000363
0.0560533106338,1e-05
0.0528453814189,0.0232285
0.0388418335422,0.0
0.0545557900803,0.012573
0.0447742735529,0.0
0.0504062668326,0.0029735
0.0522435943348,0.00940442351001
0.0365337137694,0.0173000462265
0.0239938583583,0.389879276934
0.0371844136274,0.0
0.0509329526464,0.370803851292
0.0665161870029,0.0154836093337
0.0595870605781,0.0414718190067
0.047552149884,0.2579585
0.0343000566012,0.0264565
0.0454501425725,0.0
0.0281128168704,0.0619982553142
0.049173358584,0.370025
0.0482392301694,0.0
0.0358111856313,0.1258145
0.0303695030845,0.0
0.0458339228496,0.00653480410475

5-Fold RMSE:,0.16853946884,0.147547309071,0.0970874636969,0.236794980599,0.236794980599
Average 5-Fold RMSE:,0.147052829628

5-Fold rsquared:,-0.58387954102,-49.731471265,-0.174900985681,-0.0416985316472,-0.0416985316472
Average 5-Fold rsquared:,-10.189540308
