traversalTime,rotError.mean.std
951.22385554,0.0055707192085
750.178214424,0.005774
717.088483789,0.00612134232338
589.758911653,0.005801
874.938568522,0.010443
870.904226907,0.0
870.931728251,0.0071645
550.763056801,0.004242387086
492.886623007,0.454829
656.952316561,0.585340681631
1371.34741951,0.0
1187.28583886,0.00592653260066
2035.82864252,0.0
754.01694709,0.00493682941438
205.223499199,0.000363
726.421235223,1e-05
786.534337607,0.0232285
841.175649661,0.0
731.103227949,0.012573
897.190026783,0.0
1173.06783952,0.0029735
1069.35769226,0.00940442351001
1006.22432177,0.0173000462265
823.369821087,0.389879276934
183.023661923,0.0
1001.59400158,0.370803851292
1342.9430314,0.0154836093337
1455.54715772,0.0414718190067
1603.67256076,0.2579585
1367.57529848,0.0264565
520.067365763,0.0
1567.27616653,0.0619982553142
1008.03211816,0.370025
510.678711028,0.0
1349.09985599,0.1258145
918.534020399,0.0
1578.35836762,0.00653480410475

5-Fold RMSE:,0.126522560926,0.218679441134,0.125029835255,0.0980188407836,0.0980188407836
Average 5-Fold RMSE:,0.154525248132

5-Fold rsquared:,-23.5945232655,-0.0837256405386,-0.379887467526,-0.453910533487,-0.453910533487
Average 5-Fold rsquared:,-4.95898631694
