topology_radius,transError.numSamples.mean
4,8627.0
4,15695.5
2,6140.2
3,4242.0
2,6332.5
3,6329.0
4,5863.0
2,6086.75
3,357218.5
4,830942.333333
3,36389.0
4,15490.3333333
4,13796.0
3,12714.3333333
3,7331.0
2,7723.5
3,25949.5
4,22338.0
3,24431.0
3,59670.0
3,13573.5
2,22022.0
4,32607.8
1,437301.0
3,151082.0
2,114100.666667
2,35666.8
3,122499.666667
3,19129.5
3,110106.5
4,1804313.0
5,225133.0
4,531998.0
2,242087.0
4,311884.0
5,65744.0
4,57460.5

5-Fold RMSE:,146214.05569,282001.822038,642839.799392,165651.723835,165651.723835
Average 5-Fold RMSE:,315082.697647

5-Fold rsquared:,-0.348671200574,-2.61902724928,-23.0622479791,-0.429264038214,-0.429264038214
Average 5-Fold rsquared:,-5.40285995148
