topology_std_eigenvector_centrality,transError.numSamples.mean
0.118775976121,8627.0
0.105912295049,15695.5
0.128133402293,6140.2
0.123327189632,4242.0
0.11116785633,6332.5
0.0963975736058,6329.0
0.111420287448,5863.0
0.132839614937,6086.75
0.12661037708,357218.5
0.129278231027,830942.333333
0.116999705628,36389.0
0.113860325594,15490.3333333
0.0983045532532,13796.0
0.136984666563,12714.3333333
0.121745985772,7331.0
0.129587592,7723.5
0.12417994054,25949.5
0.143314542052,22338.0
0.105943592175,24431.0
0.112661742233,59670.0
0.0953368680058,13573.5
0.11078077306,22022.0
0.108512198276,32607.8
0.0976310729378,437301.0
0.136238783067,151082.0
0.127039153774,114100.666667
0.112134596259,35666.8
0.0976912934536,122499.666667
0.0929410616606,19129.5
0.109405113251,110106.5
0.13417553378,1804313.0
0.114101280324,225133.0
0.106549735087,531998.0
0.133073753052,242087.0
0.10756347235,311884.0
0.0795638641065,65744.0
0.133711411098,57460.5

5-Fold RMSE:,618631.783524,123361.369711,292044.743988,129252.730729,129252.730729
Average 5-Fold RMSE:,279671.043287

5-Fold rsquared:,0.0921659921972,-1.20561352972,-0.2722986055,-0.316730512476,-0.316730512476
Average 5-Fold rsquared:,-0.351442399207
