voronoi_edges,rotError.numSamples.mean
253,8627.0
235,15695.5
255,6140.2
170,4242.0
246,6332.5
232,6329.0
303,5863.0
147,6086.75
128,357218.5
263,830942.333333
337,36389.0
253,15490.3333333
651,13796.0
166,12714.3333333
24,7331.0
159,7723.5
195,25949.5
305,22338.0
295,24431.0
287,59670.0
229,13573.5
279,22022.0
315,32607.8
297,437301.0
112,151082.0
155,114100.666667
257,35666.8
449,122499.666667
285,19129.5
321,110106.5
193,1804313.0
320,225133.0
437,531998.0
104,242087.0
264,311884.0
562,65744.0
189,57460.5

5-Fold RMSE:,178652.164946,605292.427798,142146.713153,307629.647541,307629.647541
Average 5-Fold RMSE:,290024.230726

5-Fold rsquared:,-8.18879132887,-0.159691418227,-16.4254030308,-0.512510196931,-0.512510196931
Average 5-Fold rsquared:,-5.2024765593
