topology_avg_betweenness_centrality,rotError.mean.mean
0.0803776683087,0.033056
0.0786962365591,0.022922
0.103887168903,0.0119034
0.0693346508564,0.024416
0.0506568144499,0.022984
0.052380952381,0.026014
0.0603415047795,0.0385815
0.0746474028208,0.01411725
0.0884711779449,0.508538
0.0886956521739,0.427206333333
0.0721368092692,0.027683
0.0755793226381,0.021869
0.0651387827858,0.025594
0.125438596491,0.011314
0.115927072583,0.005875
0.0835913312693,0.008499
0.0716403162055,0.0364685
0.106554677207,0.013377
0.0501145912911,0.025206
0.0622358034123,0.098742
0.0430054476308,0.0188725
0.0555829228243,0.0217106666667
0.071322537112,0.0356654
0.333333333333,0.710121333333
0.141391941392,0.617859
0.0809941520468,0.347246
0.0462820512821,0.037768
0.0346271236799,0.0542597777778
0.0447939150992,0.2879235
0.11405985319,0.0488165
0.0939031339031,0.811734
0.0726480836237,0.061975
0.0512077294686,0.422134
0.0990196078431,0.415324
0.0677298311445,0.1402775
0.0483073539657,0.058548
0.0855072463768,0.02715275

5-Fold RMSE:,0.198436628497,0.141839608856,0.274324320832,0.202275302907,0.202275302907
Average 5-Fold RMSE:,0.192357973739

5-Fold rsquared:,-0.495902187421,0.219303784345,0.0215010332532,-0.98253191742,-0.98253191742
Average 5-Fold rsquared:,-33.3489021019
