topology_avg_katz_centrality,transError.std.mean
0.177783461173,0.79363175
0.173718373605,0.9712675
0.225837365907,0.660006
0.197191271315,0.553814
0.17256521982,0.679647
0.156033511459,0.695845
0.137439770012,0.6465805
0.221789361423,0.64506525
0.213572373485,8.99611
0.194739301254,11.1858156667
0.168023315729,4.032134
0.165392862514,0.868578333333
0.164520601552,0.980527
0.22139266437,0.931125666667
0.226325241251,0.68123
0.222462593068,0.7183785
0.197164987585,1.188382
0.200394557396,1.285796
0.159984669078,1.247364
0.162992923157,2.102963
0.13687879313,1.003049
0.17493981875,1.010814
0.153835261752,1.3055026
0.576851478367,13.7854806667
0.255507311148,8.904198
0.217728809152,5.65513066667
0.184491558962,1.8947556
0.140375197828,2.71848344444
0.137896297217,1.921542
0.205673933659,2.705434
0.187006207323,28.104709
0.151720774244,2.8970098
0.139000400145,11.9478155
0.23768993686,4.520748
0.152012508979,9.020481
0.122273092524,2.112467
0.194677300978,1.77265025

5-Fold RMSE:,4.7027839302,3.19415100865,4.04402481349,3.07833751013,3.07833751013
Average 5-Fold RMSE:,4.91109299396

5-Fold rsquared:,0.132781908252,-0.124910877832,0.390733748783,-0.280919580575,-0.280919580575
Average 5-Fold rsquared:,-1.00768084447
