voronoi_std_eigenvector_centrality,transError.std.mean
0.0621418524861,0.79363175
0.064562611159,0.9712675
0.0655147896749,0.660006
0.0756944120562,0.553814
0.063736397957,0.679647
0.0655788298353,0.695845
0.0571208297746,0.6465805
0.0795172592942,0.64506525
0.0863325328339,8.99611
0.0625710750276,11.1858156667
0.0539293297254,4.032134
0.0623255741929,0.868578333333
0.0393741635952,0.980527
0.0778171239841,0.931125666667
0.183177866246,0.68123
0.0788215763143,0.7183785
0.0702204048489,1.188382
0.0583048887054,1.285796
0.0585601819606,1.247364
0.0588844988291,2.102963
0.0665140899304,1.003049
0.0595416486538,1.010814
0.0570370754118,1.3055026
0.0583229555488,13.7854806667
0.092355006202,8.904198
0.0794001997108,5.65513066667
0.0633224148962,1.8947556
0.0480134270942,2.71848344444
0.0594842394656,1.921542
0.057696329759,2.705434
0.0701124270704,28.104709
0.0559140808964,2.8970098
0.0480981747221,11.9478155
0.095602752891,4.520748
0.061688422116,9.020481
0.0433166383751,2.112467
0.0718074587629,1.77265025

5-Fold RMSE:,2.12453940818,3.65234583873,4.11339261263,4.265983995,4.265983995
Average 5-Fold RMSE:,4.96046122078

5-Fold rsquared:,-1.38197731387,-0.398625478313,-16.3230272153,-0.0804594313399,-0.0804594313399
Average 5-Fold rsquared:,-3.68916896714
