totalLength,transError.mean.mean
1329.72750899,0.77999825
2108.7669849,0.737788
2256.12310928,0.6111264
824.368835301,0.627088
2126.22049647,0.895302
1790.18354594,0.690067
1441.58676375,0.6868825
2440.05942838,0.7195855
946.029134275,6.0711005
863.896973708,7.747828
3457.98110153,1.066061
1867.26882519,0.880959666667
3890.3216491,1.110731
1367.16333489,0.992162
1063.51137603,0.806277
1525.83099978,0.960523
1159.62437526,0.95364
1396.36771942,1.467048
874.593326059,1.3147815
897.427820849,1.60563
1435.35472905,1.28873
2824.82110656,1.08620766667
1946.83451508,0.873942
846.497995999,9.46907833333
384.084747385,5.437125
1326.42297693,5.458101
2372.92825138,1.9444218
3101.91185446,2.43944244444
1942.47141161,2.0359135
3185.90692283,2.2091805
848.674294841,16.189822
3035.9531446,2.9383338
917.952284687,7.8686635
537.458350768,3.155217
3987.59657007,7.5462215
1047.88838472,1.874993
2361.72989476,1.3166405

5-Fold RMSE:,2.88492157081,5.60534069412,1.68143166408,2.28757099799,2.28757099799
Average 5-Fold RMSE:,3.22926228011

5-Fold rsquared:,0.107524584267,0.103700111528,0.0620332141485,-0.845923764556,-0.845923764556
Average 5-Fold rsquared:,-0.0773227490584
