voronoi_avg_betweenness_centrality,transError.std.mean
0.0649559528436,0.79363175
0.0530579343746,0.9712675
0.0637462112276,0.660006
0.0650717683523,0.553814
0.0519919002253,0.679647
0.0543909260484,0.695845
0.0511352348359,0.6465805
0.0510232807543,0.64506525
0.0905225691265,8.99611
0.0503509521959,11.1858156667
0.0415603204832,4.032134
0.0588473635416,0.868578333333
0.0321313931569,0.980527
0.0720605736997,0.931125666667
0.137012987013,0.68123
0.0682366021076,0.7183785
0.058391423179,1.188382
0.0533682183273,1.285796
0.0407834101382,1.247364
0.0472698785658,2.102963
0.0512248343955,1.003049
0.0510723425654,1.010814
0.0494197342933,1.3055026
0.0467709082677,13.7854806667
0.101026753682,8.904198
0.072659366777,5.65513066667
0.0538211780553,1.8947556
0.0536409255235,2.71848344444
0.055920167335,1.921542
0.0737227337282,2.705434
0.0589674081539,28.104709
0.049189456212,2.8970098
0.0454936627156,11.9478155
0.086418435933,4.520748
0.0453083989501,9.020481
0.0313445517341,2.112467
0.076188994946,1.77265025

5-Fold RMSE:,3.12998095831,9.73948727176,3.75759444718,4.23013727934,4.23013727934
Average 5-Fold RMSE:,4.86968539381

5-Fold rsquared:,-0.407603968189,-3.34515975569,-0.0344645768266,-0.850573816034,-0.850573816034
Average 5-Fold rsquared:,-0.963847155623
