topology_avg_eigenvector_centrality,transError.numSamples.mean
0.13865641287,8627.0
0.141536517399,15695.5
0.19029821377,6140.2
0.162656297032,4242.0
0.144827625308,6332.5
0.133171073548,6329.0
0.0917543071379,5863.0
0.187043352329,6086.75
0.177732551984,357218.5
0.152601241746,830942.333333
0.125390723695,36389.0
0.124928999144,15490.3333333
0.137505066747,13796.0
0.176734832805,12714.3333333
0.194446635085,7331.0
0.189310947774,7723.5
0.162006200604,25949.5
0.145353392472,22338.0
0.131709467573,24431.0
0.126010953526,59670.0
0.110396908215,13573.5
0.145123925159,22022.0
0.115000447066,32607.8
0.569035593729,437301.0
0.219330026797,151082.0
0.184013731576,114100.666667
0.160895527543,35666.8
0.117099210659,122499.666667
0.112421327167,19129.5
0.177507132432,110106.5
0.137963629888,1804313.0
0.103876954315,225133.0
0.101913121764,531998.0
0.202768108095,242087.0
0.113226954911,311884.0
0.0976862702812,65744.0
0.148732170502,57460.5

5-Fold RMSE:,162466.081088,239502.963893,118789.478377,281192.416449,281192.416449
Average 5-Fold RMSE:,297227.11401

5-Fold rsquared:,-0.815456210705,-0.0966602233738,-0.545759115563,-0.0935771329179,-0.0935771329179
Average 5-Fold rsquared:,-0.540037312465
