totalLength,transError.std.std
1329.72750899,0.0488762765684
2108.7669849,0.1863275
2256.12310928,0.101101237389
824.368835301,0.186017
2126.22049647,0.009255
1790.18354594,0.0
1441.58676375,0.0591725
2440.05942838,0.138424101571
946.029134275,7.65827
863.896973708,14.6652972746
3457.98110153,0.0
1867.26882519,0.163987254835
3890.3216491,0.0
1367.16333489,0.187602242848
1063.51137603,0.322411
1525.83099978,0.2730165
1159.62437526,0.749069
1396.36771942,0.0
874.593326059,0.066417
897.427820849,0.0
1435.35472905,0.146625
2824.82110656,0.721266797933
1946.83451508,0.738109625713
846.497995999,3.0796217385
384.084747385,0.0
1326.42297693,4.04790223421
2372.92825138,0.36931376237
3101.91185446,2.45785083592
1942.47141161,0.413958
3185.90692283,0.845742
848.674294841,0.0
3035.9531446,2.57654755771
917.952284687,10.1506075
537.458350768,0.0
3987.59657007,7.315611
1047.88838472,0.0
2361.72989476,0.795869226053

5-Fold RMSE:,6.39878334209,1.7854071328,1.88465830131,2.55528756898,2.55528756898
Average 5-Fold RMSE:,2.86243192625

5-Fold rsquared:,-0.0228552826697,-1.65836169151,0.0149645425686,-2.2056111476,-2.2056111476
Average 5-Fold rsquared:,-0.874462216084
