topology_avg_betweenness_centrality,transError.mean.mean
0.0803776683087,0.77999825
0.0786962365591,0.737788
0.103887168903,0.6111264
0.0693346508564,0.627088
0.0506568144499,0.895302
0.052380952381,0.690067
0.0603415047795,0.6868825
0.0746474028208,0.7195855
0.0884711779449,6.0711005
0.0886956521739,7.747828
0.0721368092692,1.066061
0.0755793226381,0.880959666667
0.0651387827858,1.110731
0.125438596491,0.992162
0.115927072583,0.806277
0.0835913312693,0.960523
0.0716403162055,0.95364
0.106554677207,1.467048
0.0501145912911,1.3147815
0.0622358034123,1.60563
0.0430054476308,1.28873
0.0555829228243,1.08620766667
0.071322537112,0.873942
0.333333333333,9.46907833333
0.141391941392,5.437125
0.0809941520468,5.458101
0.0462820512821,1.9444218
0.0346271236799,2.43944244444
0.0447939150992,2.0359135
0.11405985319,2.2091805
0.0939031339031,16.189822
0.0726480836237,2.9383338
0.0512077294686,7.8686635
0.0990196078431,3.155217
0.0677298311445,7.5462215
0.0483073539657,1.874993
0.0855072463768,1.3166405

5-Fold RMSE:,2.26977617461,5.95256215405,1.83721471185,2.22674806042,2.22674806042
Average 5-Fold RMSE:,3.13598161679

5-Fold rsquared:,0.0596203508353,0.47830081378,-0.0793166831566,-16.5353025506,-16.5353025506
Average 5-Fold rsquared:,-3.21832508807
