topology_avg_closeness_centrality,rotError.std.mean
0.321027376431,0.02798225
0.307063318781,0.0320445
0.3736125688,0.0178372
0.408935571873,0.0199945
0.424645653444,0.021598
0.361359086553,0.036893
0.275527456151,0.0359985
0.458570826992,0.01772125
0.384808883271,0.5246775
0.345619064651,0.385748
0.31302022507,0.088337
0.297037369872,0.0298306666667
0.327739729602,0.022416
0.320985703109,0.014809
0.348572411089,0.008167
0.4281060583,0.012435
0.401704629629,0.0413675
0.312405095581,0.02285
0.387862468291,0.028219
0.33979368597,0.122708
0.350927942074,0.020269
0.401346505261,0.023071
0.278481518716,0.0556182
0.777777777778,0.805028666667
0.36624766393,0.736744
0.41996024624,0.348673666667
0.488065475429,0.0636326
0.42200643551,0.0959848888889
0.341150943476,0.3574515
0.302416892695,0.047268
0.315127997702,0.997592
0.261732493222,0.0586724
0.320506146099,0.546293
0.415539839586,0.668596
0.284488279077,0.147273
0.259287867843,0.059187
0.352171322103,0.033395

5-Fold RMSE:,0.177774380741,0.261752169736,0.28081234669,0.346179682718,0.346179682718
Average 5-Fold RMSE:,0.282795154695

5-Fold rsquared:,0.0720846955609,-69.4344386672,-0.0322975442231,-0.731067160706,-0.731067160706
Average 5-Fold rsquared:,-14.0542450077
