voronoi_avg_betweenness_centrality,rotError.mean.mean
0.0649559528436,0.033056
0.0530579343746,0.022922
0.0637462112276,0.0119034
0.0650717683523,0.024416
0.0519919002253,0.022984
0.0543909260484,0.026014
0.0511352348359,0.0385815
0.0510232807543,0.01411725
0.0905225691265,0.508538
0.0503509521959,0.427206333333
0.0415603204832,0.027683
0.0588473635416,0.021869
0.0321313931569,0.025594
0.0720605736997,0.011314
0.137012987013,0.005875
0.0682366021076,0.008499
0.058391423179,0.0364685
0.0533682183273,0.013377
0.0407834101382,0.025206
0.0472698785658,0.098742
0.0512248343955,0.0188725
0.0510723425654,0.0217106666667
0.0494197342933,0.0356654
0.0467709082677,0.710121333333
0.101026753682,0.617859
0.072659366777,0.347246
0.0538211780553,0.037768
0.0536409255235,0.0542597777778
0.055920167335,0.2879235
0.0737227337282,0.0488165
0.0589674081539,0.811734
0.049189456212,0.061975
0.0454936627156,0.422134
0.086418435933,0.415324
0.0453083989501,0.1402775
0.0313445517341,0.058548
0.076188994946,0.02715275

5-Fold RMSE:,0.146875102427,0.3028715853,0.243028955081,0.275303530501,0.275303530501
Average 5-Fold RMSE:,0.225754919655

5-Fold rsquared:,-0.22451084665,-0.104672187509,0.0256149156584,-381.082882506,-381.082882506
Average 5-Fold rsquared:,-76.8385761415
