avgRoomWallRatio,rotError.mean.mean
28.751717776,0.033056
137.556377369,0.022922
52.1209436869,0.0119034
11.0567143812,0.024416
25.0965042526,0.022984
5.11370107056,0.026014
5.20722404423,0.0385815
16.4235744233,0.01411725
23.8346876138,0.508538
20.8609685098,0.427206333333
5.36699093475,0.027683
6.82477892286,0.021869
8.06038669655,0.025594
29.1017856064,0.011314
112.186234652,0.005875
9.94474092631,0.008499
20.3487250038,0.0364685
32.0558355679,0.013377
5.66003775883,0.025206
41.7117577663,0.098742
4.15960998171,0.0188725
257.915562133,0.0217106666667
18.4384227154,0.0356654
78.8607355756,0.710121333333
17.0310324486,0.617859
5.20590608492,0.347246
15.5899748781,0.037768
9.40155834329,0.0542597777778
5.76789137536,0.2879235
32.8475094999,0.0488165
21.165267296,0.811734
12.5838625992,0.061975
31.9225066807,0.422134
20.6470540419,0.415324
94.0246719844,0.1402775
74.578108553,0.058548
42.725871617,0.02715275

5-Fold RMSE:,0.176182114497,0.280019060214,0.275117440263,0.146783039056,0.146783039056
Average 5-Fold RMSE:,0.219477882309

5-Fold rsquared:,-0.144962060049,0.0205065560593,-0.308386039371,-0.871752717152,-0.871752717152
Average 5-Fold rsquared:,-2.2625674357
