voronoi_avg_shortest_path_length,rotError.std.mean
17.1090763052,0.02798225
13.0972090374,0.0320445
15.4703899487,0.0178372
11.9320570832,0.0199945
13.5300479543,0.021598
13.346740213,0.036893
16.2894352159,0.0359985
8.04121274409,0.01772125
12.4963662791,0.5246775
13.4870361446,0.385748
14.9227073619,0.088337
15.7706882489,0.0298306666667
21.4998288341,0.022416
12.3135100709,0.014809
3.74025974026,0.008167
11.5084367246,0.012435
12.2111532504,0.0413675
16.4234150966,0.02285
12.3785714286,0.028219
14.282835877,0.122708
12.3206884014,0.020269
15.0959665481,0.023071
15.7765005537,0.0556182
14.4232506728,0.805028666667
12.2139696587,0.736744
12.0442237501,0.348673666667
14.0247250894,0.0636326
24.0119570496,0.0959848888889
16.4339661845,0.3574515
22.6007609824,0.047268
12.0269053248,0.997592
16.4454892506,0.0586724
20.3348066541,0.546293
9.9010989011,0.668596
12.5083333333,0.147273
17.5499233156,0.059187
15.3235310498,0.033395

5-Fold RMSE:,0.216404373957,0.177938944598,0.196763836421,0.478795180898,0.478795180898
Average 5-Fold RMSE:,0.253027564811

5-Fold rsquared:,-0.117594326976,-0.00856254283955,-0.0817947324517,-0.433858282656,-0.433858282656
Average 5-Fold rsquared:,-0.122626761463
