voronoi_nodes,rotError.numSamples.std
250,1692.08022859
230,3411.5
229,2886.681652
170,2356.0
243,168.5
229,0.0
301,1162.0
140,2768.629117
129,332796.5
250,1162326.40025
337,0.0
253,4484.43361963
640,0.0
159,4596.02468323
22,6269.0
156,4659.5
194,23467.5
291,0.0
281,2134.0
283,0.0
223,3793.5
278,25849.7467299
301,27505.3824798
289,164604.661684
113,0.0
154,116037.005748
244,15605.2559274
431,231363.029035
278,8298.5
295,59179.5
189,0.0
316,358042.389847
427,489724.0
105,0.0
256,274071.0
530,0.0
190,56789.5485037

5-Fold RMSE:,108707.633547,169526.023844,136502.866769,435923.308251,435923.308251
Average 5-Fold RMSE:,195944.161477

5-Fold rsquared:,-0.0161170482854,-5.77453356006,-2551.23530894,0.0859911685681,0.0859911685681
Average 5-Fold rsquared:,-511.430494412
