voronoi_avg_shortest_path_length,transError.std.mean
17.1090763052,0.79363175
13.0972090374,0.9712675
15.4703899487,0.660006
11.9320570832,0.553814
13.5300479543,0.679647
13.346740213,0.695845
16.2894352159,0.6465805
8.04121274409,0.64506525
12.4963662791,8.99611
13.4870361446,11.1858156667
14.9227073619,4.032134
15.7706882489,0.868578333333
21.4998288341,0.980527
12.3135100709,0.931125666667
3.74025974026,0.68123
11.5084367246,0.7183785
12.2111532504,1.188382
16.4234150966,1.285796
12.3785714286,1.247364
14.282835877,2.102963
12.3206884014,1.003049
15.0959665481,1.010814
15.7765005537,1.3055026
14.4232506728,13.7854806667
12.2139696587,8.904198
12.0442237501,5.65513066667
14.0247250894,1.8947556
24.0119570496,2.71848344444
16.4339661845,1.921542
22.6007609824,2.705434
12.0269053248,28.104709
16.4454892506,2.8970098
20.3348066541,11.9478155
9.9010989011,4.520748
12.5083333333,9.020481
17.5499233156,2.112467
15.3235310498,1.77265025

5-Fold RMSE:,9.31099629516,4.08483085489,4.49852598405,3.80000563742,3.80000563742
Average 5-Fold RMSE:,5.05242362276

5-Fold rsquared:,0.00282148976537,-1.14373713893,-0.0320419082696,-0.0490712694389,-0.0490712694389
Average 5-Fold rsquared:,-3.69832135049
