totalLength,rotError.numSamples.std
1329.72750899,1692.08022859
2108.7669849,3411.5
2256.12310928,2886.681652
824.368835301,2356.0
2126.22049647,168.5
1790.18354594,0.0
1441.58676375,1162.0
2440.05942838,2768.629117
946.029134275,332796.5
863.896973708,1162326.40025
3457.98110153,0.0
1867.26882519,4484.43361963
3890.3216491,0.0
1367.16333489,4596.02468323
1063.51137603,6269.0
1525.83099978,4659.5
1159.62437526,23467.5
1396.36771942,0.0
874.593326059,2134.0
897.427820849,0.0
1435.35472905,3793.5
2824.82110656,25849.7467299
1946.83451508,27505.3824798
846.497995999,164604.661684
384.084747385,0.0
1326.42297693,116037.005748
2372.92825138,15605.2559274
3101.91185446,231363.029035
1942.47141161,8298.5
3185.90692283,59179.5
848.674294841,0.0
3035.9531446,358042.389847
917.952284687,489724.0
537.458350768,0.0
3987.59657007,274071.0
1047.88838472,0.0
2361.72989476,56789.5485037

5-Fold RMSE:,146691.291651,424630.546767,100442.725793,105195.363478,105195.363478
Average 5-Fold RMSE:,192458.447853

5-Fold rsquared:,-0.381426536825,-1.7153302677,-0.0213218737916,-0.238178659406,-0.238178659406
Average 5-Fold rsquared:,-0.652700205835
