topology_std_betweenness_centrality,transError.std.mean
0.157060934161,0.79363175
0.124401224416,0.9712675
0.219441665803,0.660006
0.187756497808,0.553814
0.154019596736,0.679647
0.15294041887,0.695845
0.141627662593,0.6465805
0.216662018134,0.64506525
0.212474501198,8.99611
0.179116363595,11.1858156667
0.16600218961,4.032134
0.170907443183,0.868578333333
0.132183205558,0.980527
0.206867780433,0.931125666667
0.224004288455,0.68123
0.196185373283,0.7183785
0.158996914607,1.188382
0.20325722398,1.285796
0.124375787197,1.247364
0.146143564105,2.102963
0.116264239203,1.003049
0.16435750178,1.010814
0.153122424652,1.3055026
0.471404520791,13.7854806667
0.242817084083,8.904198
0.216313212501,5.65513066667
0.183840968349,1.8947556
0.148639864971,2.71848344444
0.119075163898,1.921542
0.220853420272,2.705434
0.190652239415,28.104709
0.119381307136,2.8970098
0.147003696536,11.9478155
0.234536156628,4.520748
0.131812264312,9.020481
0.0895510295476,2.112467
0.19657591917,1.77265025

5-Fold RMSE:,9.55937874626,3.5692411896,2.82386864946,2.51164631358,2.51164631358
Average 5-Fold RMSE:,4.57107398744

5-Fold rsquared:,0.22305245716,0.1904328124,-3.93317540501,-0.237658652383,-0.237658652383
Average 5-Fold rsquared:,-0.775798644667
