voronoi_numBifurcationPoints,rotError.numSamples.std
125,1692.08022859
117,3411.5
135,2886.681652
81,2356.0
121,168.5
111,0.0
145,1162.0
66,2768.629117
62,332796.5
134,1162326.40025
126,0.0
123,4484.43361963
324,0.0
82,4596.02468323
13,6269.0
68,4659.5
93,23467.5
146,0.0
148,2134.0
141,0.0
93,3793.5
137,25849.7467299
155,27505.3824798
145,164604.661684
52,0.0
58,116037.005748
107,15605.2559274
195,231363.029035
119,8298.5
159,59179.5
94,0.0
160,358042.389847
214,489724.0
49,0.0
131,274071.0
268,0.0
92,56789.5485037

5-Fold RMSE:,138527.733673,430253.410408,90224.5164798,95132.3058466,95132.3058466
Average 5-Fold RMSE:,174877.199551

5-Fold rsquared:,-0.0493601291494,-0.000898455932767,-1.23474863664,-0.10631024393,-0.10631024393
Average 5-Fold rsquared:,-0.289890419702
