numRooms,rotError.mean.std
31,0.0055707192085
33,0.005774
19,0.00612134232338
24,0.005801
30,0.010443
37,0.0
49,0.0071645
20,0.004242387086
21,0.454829
25,0.585340681631
34,0.0
35,0.00592653260066
79,0.0
20,0.00493682941438
19,0.000363
22,1e-05
24,0.0232285
25,0.0
36,0.012573
35,0.0
48,0.0029735
35,0.00940442351001
40,0.0173000462265
34,0.389879276934
15,0.0
22,0.370803851292
26,0.0154836093337
45,0.0414718190067
50,0.2579585
23,0.0264565
27,0.0
42,0.0619982553142
46,0.370025
17,0.0
43,0.1258145
65,0.0
25,0.00653480410475

5-Fold RMSE:,0.149100533483,0.0711606859444,0.237894790798,0.172219654995,0.172219654995
Average 5-Fold RMSE:,0.145957393511

5-Fold rsquared:,-3.19637238012,-0.132846069734,-0.0888455221939,-0.325074454241,-0.325074454241
Average 5-Fold rsquared:,-0.750034896159
