totalTime,transError.numSamples.mean
4665.975,8627.0
5137.1,15695.5
5690.54,6140.2
2714.45,4242.0
4835.1,6332.5
4832.8,6329.0
4219.35,5863.0
5898.65,6086.75
3627.9,357218.5
3827.43333333,830942.333333
11510.1,36389.0
5241.43333333,15490.3333333
10257.5,13796.0
3827.56666667,12714.3333333
3620.7,7331.0
4229.35,7723.5
3313.3,25949.5
4822.6,22338.0
3930.0,24431.0
3614.3,59670.0
4227.2,13573.5
7469.7,22022.0
5687.44,32607.8
3623.2,437301.0
2421.2,151082.0
4828.66666667,114100.666667
7982.52,35666.8
8717.62222222,122499.666667
6334.0,19129.5
7562.0,110106.5
4829.8,1804313.0
7868.38,225133.0
3315.1,531998.0
2415.4,242087.0
9369.6,311884.0
4827.5,65744.0
6338.1,57460.5

5-Fold RMSE:,189047.751883,600417.336792,195014.068733,141028.718087,141028.718087
Average 5-Fold RMSE:,280726.640922

5-Fold rsquared:,-0.216728968126,-0.15760999523,-1.83462306033,-0.287860959419,-0.287860959419
Average 5-Fold rsquared:,-0.64894227769
