voronoi_avg_eigenvector_centrality,transError.std.mean
0.0117639351235,0.79363175
0.013397586622,0.9712675
0.00863855085793,0.660006
0.0123575452517,0.553814
0.00727309513956,0.679647
0.00813813888448,0.695845
0.00771167569822,0.6465805
0.0286332432184,0.64506525
0.0172809652214,8.99611
0.0092119796945,11.1858156667
0.00768026339488,4.032134
0.00825178595754,0.868578333333
0.00348930382443,0.980527
0.0152906308222,0.931125666667
0.109089022235,0.68123
0.0140504632514,0.7183785
0.014957737734,1.188382
0.00607997285304,1.285796
0.0113764647388,1.247364
0.00813539809992,2.102963
0.00775762679381,1.003049
0.00720516326982,1.010814
0.00830849954476,1.3055026
0.00765770647817,13.7854806667
0.017891627974,8.904198
0.0137519009375,5.65513066667
0.00941447966977,1.8947556
0.00385958981256,2.71848344444
0.00766469551654,1.921542
0.00780794728565,2.705434
0.0193714444817,28.104709
0.00617839133906,2.8970098
0.00533722428878,11.9478155
0.0195939573205,4.520748
0.0100393514149,9.020481
0.00323439217057,2.112467
0.0103366706799,1.77265025

5-Fold RMSE:,4.89675188142,3.3673419248,9.57990368657,3.46152741902,3.46152741902
Average 5-Fold RMSE:,5.07181471101

5-Fold rsquared:,-6.27815706358,-20.2361784804,-0.372295923299,-0.142104268745,-0.142104268745
Average 5-Fold rsquared:,-5.52723489108
