area,transError.std.mean
1196.88557207,0.79363175
1276.3958515,0.9712675
2354.8528125,0.660006
1041.21327443,0.553814
734.15,0.679647
1631.6725,0.695845
290.0184375,0.6465805
231.629375,0.64506525
1054.32679687,8.99611
1933.90139917,11.1858156667
325.31,4.032134
459.930625,0.868578333333
441.6625,0.980527
1647.76381253,0.931125666667
2313.45559827,0.68123
256.2996875,0.7183785
1710.57095749,1.188382
1020.60351562,1.285796
365.2209375,1.247364
1486.08538919,2.102963
268.7265625,1.003049
2419.47625,1.010814
1934.39945026,1.3055026
1244.54759766,13.7854806667
441.159665625,8.904198
235.2825,5.65513066667
397.378125,1.8947556
434.9653125,2.71848344444
279.4009375,1.921542
786.40125,2.705434
852.118300775,28.104709
774.963125,2.8970098
1269.8764875,11.9478155
1203.42228531,4.520748
3629.2829625,9.020481
1312.1154,2.112467
5351.94959335,1.77265025

5-Fold RMSE:,3.6993794265,3.41579014464,3.93339154023,4.82683464947,4.82683464947
Average 5-Fold RMSE:,5.16564799431

5-Fold rsquared:,-0.257293285562,-0.243261831836,-0.488010369603,-2.47544850931,-2.47544850931
Average 5-Fold rsquared:,-0.738177079441
